0,0,4,i
0,1,1,s
0,2,2,i
0,3,9,i
0,4,6,s
0,5,7,i
0,6,5,i
0,7,8,s
0,8,3,s
1,0,5,i
1,1,9,i
1,2,3,i
1,3,8,i
1,4,1,i
1,5,4,i
1,6,6,i
1,7,2,i
1,8,7,
2,0,6,
2,1,7,
2,2,8,
2,3,5,s
2,4,2,i
2,5,3,i
2,6,4,s
2,7,9,i
2,8,1,s
3,0,8,i
3,1,2,i
3,2,5,i
3,3,7,i
3,4,3,i
3,5,1,i
3,6,9,i
3,7,4,i
3,8,6,i
4,0,9,i
4,1,6,i
4,2,1,s
4,3,4,i
4,4,5,i
4,5,8,s
4,6,7,i
4,7,3,i
4,8,2,s
5,0,3,i
5,1,4,i
5,2,7,s
5,3,6,s
5,4,9,s
5,5,2,s
5,6,8,i
5,7,1,i
5,8,5,i
6,0,1,i
6,1,5,s
6,2,6,i
6,3,2,i
6,4,4,i
6,5,9,i
6,6,3,s
6,7,7,i
6,8,8,s
7,0,7,i
7,1,3,s
7,2,4,i
7,3,1,s
7,4,8,i
7,5,6,i
7,6,2,i
7,7,5,s
7,8,9,i
8,0,2,i
8,1,8,s
8,2,9,s
8,3,3,i
8,4,7,s
8,5,5,i
8,6,1,s
8,7,6,s
8,8,4,i
