0,0,3,i
0,1,7,i
0,2,1,s
0,3,5,i
0,4,8,i
0,5,2,s
0,6,6,
0,7,9,i
0,8,4,s
1,0,4,s
1,1,6,i
1,2,2,i
1,3,3,i
1,4,7,s
1,5,9,i
1,6,5,i
1,7,8,
1,8,1,i
2,0,8,i
2,1,9,i
2,2,5,i
2,3,6,i
2,4,1,s
2,5,4,s
2,6,7,i
2,7,2,i
2,8,3,
3,0,5,s
3,1,8,s
3,2,6,i
3,3,2,s
3,4,3,i
3,5,1,i
3,6,9,i
3,7,4,i
3,8,7,i
4,0,7,i
4,1,1,i
4,2,4,i
4,3,8,s
4,4,9,i
4,5,6,i
4,6,3,s
4,7,5,i
4,8,2,i
5,0,9,s
5,1,2,i
5,2,3,i
5,3,7,i
5,4,4,i
5,5,5,s
5,6,1,i
5,7,6,s
5,8,8,i
6,0,1,s
6,1,3,i
6,2,9,s
6,3,4,i
6,4,5,i
6,5,8,i
6,6,2,s
6,7,7,i
6,8,6,i
7,0,6,i
7,1,4,i
7,2,7,i
7,3,9,s
7,4,2,i
7,5,3,i
7,6,8,s
7,7,1,i
7,8,5,i
8,0,2,s
8,1,5,s
8,2,8,i
8,3,1,i
8,4,6,i
8,5,7,s
8,6,4,i
8,7,3,i
8,8,9,s
