0,0,5,i
0,1,6,s
0,2,7,i
0,3,8,
0,4,3,i
0,5,4,i
0,6,9,s
0,7,1,s
0,8,2,i
1,0,9,s
1,1,8,i
1,2,1,s
1,3,2,s
1,4,5,
1,5,6,i
1,6,3,s
1,7,4,i
1,8,7,i
2,0,2,i
2,1,3,i
2,2,4,i
2,3,7,i
2,4,9,
2,5,1,s
2,6,5,i
2,7,6,s
2,8,8,i
3,0,6,i
3,1,4,i
3,2,2,s
3,3,3,s
3,4,8,s
3,5,7,i
3,6,1,i
3,7,5,s
3,8,9,i
4,0,8,i
4,1,1,i
4,2,3,i
4,3,9,s
4,4,4,i
4,5,5,i
4,6,2,s
4,7,7,s
4,8,6,i
5,0,7,s
5,1,9,i
5,2,5,i
5,3,1,i
5,4,6,s
5,5,2,i
5,6,8,s
5,7,3,i
5,8,4,s
6,0,1,i
6,1,2,i
6,2,9,s
6,3,4,i
6,4,7,s
6,5,3,i
6,6,6,s
6,7,8,s
6,8,5,i
7,0,3,i
7,1,7,i
7,2,6,i
7,3,5,s
7,4,2,i
7,5,8,s
7,6,4,i
7,7,9,i
7,8,1,i
8,0,4,s
8,1,5,s
8,2,8,i
8,3,6,i
8,4,1,i
8,5,9,i
8,6,7,i
8,7,2,i
8,8,3,i
