0,0,7,i
0,1,6,i
0,2,8
0,3,9,i
0,4,1,i
0,5,4,i
0,6,2,i
0,7,3,s
0,8,5,i
1,0,9,s
1,1,5,
1,2,3,i
1,3,7,i
1,4,2,s
1,5,8,i
1,6,1,i
1,7,6,i
1,8,4,s
2,0,1,s
2,1,2,i
2,2,4,
2,3,3,i
2,4,5,i
2,5,6,s
2,6,7,i
2,7,8,s
2,8,9,i
3,0,8,i
3,1,7,s
3,2,1,i
3,3,4,i
3,4,9,s
3,5,2,s
3,6,6,i
3,7,5,i
3,8,3,i
4,0,2,i
4,1,4,i
4,2,9,s
4,3,6,i
4,4,3,s
4,5,5,i
4,6,8,s
4,7,1,i
4,8,7,i
5,0,5,i
5,1,3,i
5,2,6,i
5,3,8,i
5,4,7,i
5,5,1,s
5,6,9,i
5,7,4,s
5,8,2,i
6,0,3,i
6,1,8,i
6,2,7,s
6,3,5,i
6,4,6,i
6,5,9,i
6,6,4,i
6,7,2,i
6,8,1,i
7,0,4,s
7,1,9,i
7,2,2,i
7,3,1,s
7,4,8,i
7,5,3,i
7,6,5,i
7,7,7,s
7,8,6,s
8,0,6,s
8,1,1,s
8,2,5,i
8,3,2,i
8,4,4,i
8,5,7,s
8,6,3,i
8,7,9,s
8,8,8,i
